db_id,source_ref,db_name,category_slug,state,city,currently_published,receives_map_pin,note
11ed7674-3739-4cfa-9433-51c982f1d544,226,CAT Scale at ONE9 Travel Center #226,cat-scales,TN,Dandridge,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
ee24eb2e-7055-4814-8772-dc0797965591,319,"CAT Scale — Pilot Travel Center #319, Dalton",cat-scales,GA,Dalton,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
e2aee5e7-1139-4566-a012-aa2ab3dc8453,457,"CAT Scale — Pilot Travel Center #457, Beaverdam",cat-scales,OH,Beaverdam,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
a732e380-3d35-43b5-916a-47198de64c3e,4561,"CAT Scale — Pilot Travel Center #4561, Valdosta",cat-scales,GA,Valdosta,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
f18a5587-4631-4b0c-83a2-55d6c12ad078,53,CAT Scale - Pilot Travel Center #53 Hurricane Mills,cat-scales,TN,Hurricane Mills,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
a74a9bb2-0a9c-4427-89d6-22e8715c7b7e,62,CAT Scale at Pilot Florence (#62),cat-scales,SC,Florence,false,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
bc4ff9f8-a138-4a2c-9fc2-e6b9017faea7,403,"CAT Scale — Pilot Travel Center #403 (ONE9 Travel Center), Heiskell",cat-scales,TN,Heiskell,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
00ced50d-f1f6-4e29-9a16-1b866beedef0,441,CAT Scale at Pilot Travel Center #441,cat-scales,AL,Priceville,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
1d1a2d76-46d8-46cc-9759-a9da44e2e53b,653,CAT Scale at Flying J Travel Center (Hebron),cat-scales,IN,Hebron,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
9691fa24-7dec-48e1-83f0-6c8549f85d40,90,CAT Scale at Pilot Fort Pierce,cat-scales,FL,Fort Pierce,false,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
2aafd4fa-3045-492d-a047-49a8ada973dd,231,"CAT Scale — Pilot Travel Center #231, Corbin",cat-scales,KY,Corbin,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
6d944928-3079-4aef-b907-dfab87dadbb1,254,CAT Scale at ONE9 Travel Center Wildwood,cat-scales,GA,Wildwood,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
c297e04a-9f49-46d2-8ca2-28b97d243a62,284,"CAT Scale — Pilot Travel Center #284, Monroe",cat-scales,MI,Monroe,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
683aa9c6-51fa-479d-8042-b597b0bf2958,332,CAT Scale at Pilot Travel Center #332,cat-scales,AR,North Little Rock,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
6ea6cd6b-978f-494d-a434-913c90a82978,437,"CAT Scale — Pilot Travel Center #437, Williamsburg",cat-scales,KY,Williamsburg,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
fb6a3d1d-098f-4dc5-92cb-f5c128c1edc8,114,CAT Scale at Pilot Travel Center #114,cat-scales,TN,Crossville,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
5497dc27-dbdc-44b7-8f64-3fd3f6504007,219,CAT Scale at Pilot Travel Center #219,cat-scales,TN,Knoxville,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
b66b0f4d-ff5f-452c-82a7-a74151a6bcc1,409,CAT Scale - Pilot Travel Center #409 Dickson,cat-scales,TN,Dickson,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
e77e023a-8667-4f3a-ab4e-480cf280ff2d,631,"CAT Scale — Flying J Travel Center #631, Lake Park",cat-scales,GA,Lake Park,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
98a38aa5-c4ed-4534-b331-56b71a9a2edf,4651,CAT Scale at Pilot Skippers,cat-scales,VA,Skippers,false,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
5e845e58-af0f-4226-96f6-e7d384fe3611,353,"CAT Scale — Pilot Travel Center #353, Georgetown (Triport Rd)",cat-scales,KY,Georgetown,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
3a315155-9a8c-4d6f-8c1c-d3373bd4865e,1063,CAT Scale at Pilot Travel Center #1063,cat-scales,NC,Marion,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
64c31cfc-87b8-41a8-a05f-fd70a50df17c,71,CAT Scale at Pilot Port Wentworth (#71),cat-scales,GA,Port Wentworth,false,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
338601ce-8529-4ee1-a478-3284d6901206,67,"CAT Scale — Pilot Travel Center #67, Cartersville",cat-scales,GA,Cartersville,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
cce804c6-fbf4-4d3b-8e4f-000952e40fc6,481,"CAT Scale — Pilot Travel Center #481, McDonald (Cleveland)",cat-scales,TN,McDonald,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
ea9dc82f-67a9-4e54-b0b9-10a0ebe33359,602,"CAT Scale - Pilot Travel Center #602, Birmingham",cat-scales,AL,Birmingham,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
