id	parking_spaces	name
bdbeb0cd-6935-4c31-b188-9465f1c1146a	220	CAT Scale — Flying J Travel Center #630, Jackson
e77e023a-8667-4f3a-ab4e-480cf280ff2d	210	CAT Scale — Flying J Travel Center #631, Lake Park
c2bd3356-8933-46a5-9b08-0a520a585d2a	200	CAT Scale — Flying J Travel Center #632, Resaca
03c57077-85f1-4fea-8838-348d2f8a3b5f	84	CAT Scale — Pilot Travel Center #1577, Pioneer
61744d1b-3abe-4aed-bbcc-775321a08d5b	150	CAT Scale — Pilot Travel Center #267, Byron
c297e04a-9f49-46d2-8ca2-28b97d243a62	60	CAT Scale — Pilot Travel Center #284, Monroe
ee24eb2e-7055-4814-8772-dc0797965591	100	CAT Scale — Pilot Travel Center #319, Dalton
bc4ff9f8-a138-4a2c-9fc2-e6b9017faea7	25	CAT Scale — Pilot Travel Center #403 (ONE9 Travel Center), Heiskell
cce804c6-fbf4-4d3b-8e4f-000952e40fc6	80	CAT Scale — Pilot Travel Center #481, McDonald (Cleveland)
338601ce-8529-4ee1-a478-3284d6901206	100	CAT Scale — Pilot Travel Center #67, Cartersville
f77f6c23-384f-4f64-af4d-2b73d30dbfbb	145	Flying J Travel Center #604
99e14e2c-5498-4df1-b60b-7ff743aec8ae	175	Flying J Travel Center #605
394f5b7a-2970-453b-91d4-fc87c30a51a0	225	Flying J Travel Center #607
c944296e-5c8f-4346-9755-b470a9aafe77	200	Flying J Travel Center #630
96b417a9-ff26-480a-bdea-4ce572470bd7	200	Flying J Travel Center #631
a178c35e-73ba-4c23-bbe4-605dc4a365c4	200	Flying J Travel Center #632
a70da55a-2a2e-420a-953c-4b6d46e1c435	150	Flying J Travel Center #652
9172f64e-0836-45fd-a136-3e9c914b7097	375	Flying J Travel Center #653 (Hebron)
54eb73aa-b523-42b7-bb42-be43bfe1e235	215	Flying J Travel Center #664
effb0793-cbed-44f7-b05c-3645ccfdda21	80	Flying J Travel Center #668 (Saginaw)
0ecffefe-7964-4da6-9052-c230adc0a249	150	Flying J Travel Center #695
4e95994e-db22-4b01-9b6e-0af55d277eec	176	Flying J Travel Center #722
f68a555f-f314-4506-91bc-db780f009c31	110	Flying J Travel Center #97
1beb847b-eca9-4b86-a151-558340292504	180	Flying J Travel Plaza #624 (Dade City / San Antonio)
34ba01ad-945f-4960-b099-01964f28815d	15	Mr. Fuel Travel Center (One9 Fuel Network)
c8d0eb8c-df20-4bd7-89f2-038aa550c3ee	100	ONE9 Travel Center
2e036deb-3b94-41b3-9fcb-fd5b71923e44	20	ONE9 Travel Center (former Pilot Travel Center #254)
5fc5e9a4-17f9-40c7-9c65-d3904e90140f	35	ONE9 Travel Center #226
32188e16-75ce-477c-b671-a22f8606b139	100	ONE9 Travel Center #319
49310225-476e-403f-bc11-b296444ee454	40	Pilot Travel Center #1063
4f77aa49-f11e-4ebd-a86e-9c6290ec1ec1	85	Pilot Travel Center #114
1c18704d-99b4-4644-865c-b0d740b9ccd5	50	Pilot Travel Center #149 (Flagship)
63726042-4b3b-41c2-a7e8-267af4a9285b	70	Pilot Travel Center #15
d7247403-1ed3-49de-83a5-af2862cdbd9f	70	Pilot Travel Center #1550 (Good Hope)
944a23e3-93b6-4f19-a43a-8879c89ae09a	200	Pilot Travel Center #192
b3c074e4-06a3-4cb4-b205-6ad5ddae3476	107	Pilot Travel Center #219
b7a1bf29-998f-498a-a44a-0974411802b6	40	Pilot Travel Center #231
