source_ref,official_name,brand_family,name,address,city,state,zip,lat,lng,interstate,exit_number,interstate_raw,parking_spaces,fuel_lanes,showers,overnight_parking,parking_restrictions,cat_scale,amenities,has_parking,disposition,db_ids,match_evidence,note
30,Pilot Travel Center,Pilot,Pilot Travel Center #30,2640 N 600 W,Greenfield,IN,46140,39.82150283618834,-85.91623097168883,I-70,96,"I-70, Exit 96",90,9,9,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,true,net-new-official-location,,,
3,Pilot Travel Center,Pilot,Pilot Travel Center #3,1150 North Canfield Niles Road,Youngstown,OH,44515,41.12874281677272,-80.76935871831589,I-80,223,"I-80, Exit 223",200,13,8,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,true,net-new-official-location,,,
61,ONE9 Travel Center,ONE9,ONE9 Travel Center #61,12818 SC-56,Clinton,SC,29325,34.509127,-81.858031,I-26,52,"I-26, Exit 52",21,6,3,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces | Mobile Ordering,true,net-new-official-location,,,
118,Pilot Travel Center,Pilot,Pilot Travel Center #118,7801 Alcoa Rd,Benton,AR,72019,34.6083708,-92.5334365,I-30,121,"I-30, Exit 121",76,8,8,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,true,net-new-official-location,,,
89,ONE9 Travel Center,ONE9,ONE9 Travel Center #89,1526 51st Ave E,Ellenton,FL,34222,27.528565346887518,-82.51230464049281,I-75,224,"I-75, Exit 224",0,4,2,,,false,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Mobile Ordering,false,exact-authoritative-match,5cf98762-e51b-4116-8a71-1934fcc47f35,store_number,
146,Pilot Travel Center,Pilot,Pilot Travel Center #146,995 US-9,Castleton-On-Hudson,NY,12033,42.497923883051094,-73.67463536119345,I-90,12,"I-90, Exit 12",35,7,4,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,true,net-new-official-location,,,
154,Pilot Travel Center,Pilot,Pilot Travel Center #154,14808 Warren St,Lost Hills,CA,93249,35.615131,-119.658782,I-5,278,"I-5/CA-46, Exit 278",60,7,7,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Live Parking | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,true,net-new-official-location,,,
226,ONE9 Travel Center,ONE9,ONE9 Travel Center #226,505 Patriot Dr,Dandridge,TN,37725,36.03750642605513,-83.44555030270627,I-40,417,"I-40, Exit 417",35,7,4,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,true,exact-authoritative-match,5fc5e9a4-17f9-40c7-9c65-d3904e90140f 11ed7674-3739-4cfa-9433-51c982f1d544,store_number,"1 colocated service row(s), no map pin"
275,Pilot Travel Center,Pilot,Pilot Travel Center #275,3807 Statesville Ave,Charlotte,NC,28206,35.2704815,-80.8381034,I-85,39,"I-85/77, Exit 39",32,7,5,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Mobile Ordering,true,net-new-official-location,,,
279,Pilot Travel Center,Pilot,Pilot Travel Center #279,769 E Frontage Rd,Rio Rico,AZ,85648,31.430933704281088,-110.96196054038465,I-19,12,"I-19/AZ-289, Exit 12",90,7,11,,,false,Electric Vehicle Charging Station | Mobile Ordering,true,net-new-official-location,,,
309,Pilot Travel Center,Pilot,Pilot Travel Center #309,44133 Fairground Rd,Caldwell,OH,43724,39.7375172,-81.5276703,I-77,25,"I-77, Exit 25",32,5,5,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,true,net-new-official-location,,,
319,ONE9 Travel Center,ONE9,ONE9 Travel Center #319,243 Connector 3 SW,Dalton,GA,30720,34.687265430033236,-85.00015391534424,I-75,328,"I-75, Exit 328",100,10,7,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,true,exact-authoritative-match,32188e16-75ce-477c-b671-a22f8606b139 ee24eb2e-7055-4814-8772-dc0797965591,store_number,"1 colocated service row(s), no map pin"
368,Pilot Travel Center,Pilot,Pilot Travel Center #368,4030 E Boyd Rd,Decatur,IL,62521,39.907519,-88.895694,I-72,144,"I-72, Exit 144",70,9,7,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,true,net-new-official-location,,,
386,Pilot Travel Center,Pilot,Pilot Travel Center #386,4220 Brooklake Rd NE,Salem,OR,97305,45.04875945286386,-122.974879362258,I-5,263,"I-5, Exit 263",88,8,7,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Live Parking | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,true,net-new-official-location,,,
390,Pilot Travel Center,Pilot,Pilot Travel Center #390,2115 S Hwy 395,Stanfield,OR,97875,45.765959885274036,-119.20570871753203,I-84,188,"I-84, Exit 188",112,7,0,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Live Parking | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Mobile Ordering,true,net-new-official-location,,,
412,Pilot Travel Center,Pilot,Pilot Travel Center #412,3624 Roy Messer Hwy,White Pine,TN,37890,36.108963277219395,-83.33399695833587,I-81,4,"I-81, Exit 4",130,9,10,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | IdleAir | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,true,net-new-official-location,,,
