db_id,source_ref,official_name,db_name,state,city,lat,lng,interstate,exit_number,parking_spaces,existing_parking_spaces,fills,never_written,evidence,currently_published,currently_has_coord,receives_map_pin
5cf98762-e51b-4116-8a71-1934fcc47f35,89,ONE9 Travel Center,ONE9 Travel Center (Pilot #89) - Ellenton,FL,Ellenton,27.528565346887518,-82.51230464049281,,224,,,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
5fc5e9a4-17f9-40c7-9c65-d3904e90140f,226,ONE9 Travel Center,ONE9 Travel Center #226,TN,Dandridge,36.03750642605513,-83.44555030270627,,417,,35,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
7e79bd38-6884-4e0c-a05e-0303faa8514e,457,Pilot Travel Center,Pilot Travel Center #457,OH,Beaver Dam,40.8339660627421,-83.9644058889723,,135,,105,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
7e949312-8bda-4eb3-b270-bed57d56fdc0,53,Pilot Travel Center,Pilot Travel Center #53,TN,Hurricane Mills,35.88214835938339,-87.80100000398463,,143,,180,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+brand,true,false,true
a77f9fde-3b52-4f86-961d-91e168d388d5,62,Pilot Travel Center,Pilot Travel Center #62,SC,Florence,34.26660455384255,-79.70179281338103,,170,75,,lat+lng+parking_spaces,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,false,false,true
f9e3ec91-4b3f-4c36-a174-96eafb9e907e,403,ONE9 Travel Center,ONE9 Travel Center #403,TN,Heiskell,,,,117,25,,parking_spaces,overnight_parking+parking_restrictions+is_indexable,store_number+address+coordinate_0m+brand,true,true,true
28ed1b57-596a-42e2-bcb7-55434d32fe02,441,Pilot Travel Center,Pilot Travel Center #441,AL,Decatur,34.538005252844954,-86.91097605562913,,334,,90,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
9172f64e-0836-45fd-a136-3e9c914b7097,653,Flying J Travel Center,Flying J Travel Center #653 (Hebron),IN,Hebron,41.28823088555331,-87.29464827116392,,240,,375,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
989e6437-46b1-45ce-a5b2-7f7d4d0cb18a,4584,Pilot Travel Center,Pilot Travel Center #4584,SC,Latta,34.344825,-79.534595,,181B,112,,lat+lng+parking_spaces,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,false,false,true
e5c73805-b895-443e-ad46-5b33992106d6,90,Pilot Travel Center,Pilot Travel Center #90,FL,Fort Pierce,27.4138524510288,-80.40013848915262,,129,100,,lat+lng+parking_spaces,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,false,false,true
b7a1bf29-998f-498a-a44a-0974411802b6,231,Pilot Travel Center,Pilot Travel Center #231,KY,Corbin,36.97511182002901,-84.10778245470296,,29,,40,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
2e036deb-3b94-41b3-9fcb-fd5b71923e44,254,ONE9 Travel Center,ONE9 Travel Center (former Pilot Travel Center #254),GA,Wildwood,34.97848385096656,-85.4139074441803,,169,,20,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
5527d376-b806-4a10-bc75-0478c35672d0,284,Pilot Travel Center,Pilot Travel Center #284 - Monroe,MI,Monroe,41.96358907420919,-83.35375333735163,,18,,60,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
930d8058-2612-4312-99fe-c80cc9d03e11,332,Pilot Travel Center,Pilot Travel Center #332,AR,North Little Rock,34.781197952345856,-92.12783413251053,,161,,100,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+brand,true,false,true
92a67cb7-3086-461e-a710-7ab4be8446cf,437,Pilot Travel Center,Pilot Travel Center #437,KY,Williamsburg,36.72208144037753,-84.16803532055776,,11,,80,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+brand,true,false,true
4f77aa49-f11e-4ebd-a86e-9c6290ec1ec1,114,Pilot Travel Center,Pilot Travel Center #114,TN,Crossville,35.9857961,-85.0116688,,320,,85,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
1f226de3-a16d-434e-9db3-2cb86dbf9e31,91,Pilot Travel Center,Pilot Travel Center #91,FL,Saint Johns,30.065564,-81.493909,,329,17,,lat+lng+parking_spaces,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,false,false,true
b3c074e4-06a3-4cb4-b205-6ad5ddae3476,219,Pilot Travel Center,Pilot Travel Center #219,TN,Knoxville,35.9992434,-83.7775841,,398,,107,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
c4fa7a01-7327-4a45-9a23-1d24e9bd4a3e,409,Pilot Travel Center,Pilot Travel Center #409,TN,Dickson,36.02270726288148,-87.34116938028716,,172,,90,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+brand,true,false,true
8cb6aa2b-13c3-4f79-8b1b-ee434bb8cee8,4651,Pilot Travel Center,Pilot Travel Center #4651,VA,Skippers,36.6069402079367,-77.56095702090148,,4,85,,lat+lng+parking_spaces,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,false,false,true
a8a32662-d389-4d96-9653-6fde235726d0,353,Pilot Travel Center,Pilot Travel Center #353,KY,Georgetown,38.27605548759607,-84.55335544912026,,129,,175,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
49310225-476e-403f-bc11-b296444ee454,1063,Pilot Travel Center,Pilot Travel Center #1063,NC,Marion,35.64256181522499,-82.04021014643918,,81,,40,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
4c7eff4b-4b93-4969-8d19-5fb1d388779b,4597,Pilot Travel Center,Pilot Travel Center #4597,TN,Gordonsville,36.17723841617246,-85.9486013542818,,258,,75,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
da315672-4e7f-4389-a555-4e4b7aa1d94a,71,Pilot Travel Center,Pilot Travel Center #71,GA,Port Wentworth,32.188725774101115,-81.19496020325909,,109,112,,lat+lng+parking_spaces,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,false,false,true
c251431a-ff37-4d55-9b22-1fd126b525aa,602,Pilot Travel Center,Pilot Travel Center #602,AL,Birmingham,33.56259486492335,-86.83074711838533,,264,157,,lat+lng+parking_spaces,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
76f653aa-907b-4800-865a-1dd03003185a,95,Pilot Travel Center,"Pilot Travel Center #95 (Wildwood, 493 SR 44)",FL,Wildwood,28.873918542991504,-82.09515797982287,,329,10,,lat+lng+parking_spaces,overnight_parking+parking_restrictions+is_indexable,store_number+brand,true,false,true
f77f6c23-384f-4f64-af4d-2b73d30dbfbb,604,Flying J Travel Center,Flying J Travel Center #604,AL,Hope Hull,32.194202910088684,-86.41967308332825,,158,,145,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
4b07b610-8186-4ad2-b037-cb9c402928a9,34,Pilot Travel Center,Pilot Travel Center #34,IN,Remington,40.7663019,-87.1234491,,201,,75,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
e780ec0a-3a95-42b8-b7bd-eca1cadf2a72,265,ONE9 Travel Center,ONE9 Travel Center (Pilot #265),TN,Cookeville,36.133737186379726,-85.50421763558195,,287,,,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
6e1f345b-b3fd-42bb-848c-acfb5573ebc8,366,Pilot Travel Center,Pilot Travel Center #366,TN,Jackson,35.682945179393094,-88.77758901995591,,85,,95,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
455f776b-7681-45be-8604-fdb9593beb44,493,Flying J Travel Center,Flying J Travel Center #493,SC,Saint George,33.193987365125956,-80.60230509010448,,77,118,,lat+lng+parking_spaces,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,false,false,true
1beb847b-eca9-4b86-a151-558340292504,624,Flying J Travel Center,Flying J Travel Plaza #624 (Dade City / San Antonio),FL,San Antonio,28.326050432621614,-82.32248806404851,,285,,180,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
54eb73aa-b523-42b7-bb42-be43bfe1e235,664,Flying J Travel Center,Flying J Travel Center #664,KY,Walton,38.8576816680839,-84.625863390213,,171,,215,lat+lng,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
a109cc92-378c-4d57-ac39-da50a5c2a2c6,713,ONE9 Travel Center,Flying J / ONE9 Travel Center #713,SC,Latta,34.338987832171995,-79.53411028419238,,181A,200,,lat+lng+parking_spaces,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,false,false,true
48942c6d-d58b-46ad-8a29-906278fceb35,75,Pilot Travel Center,Pilot Travel Center #75,AL,Satsuma,30.8727989,-88.0469468,,19,77,,lat+lng+parking_spaces,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,true,false,true
ac64dd0e-2288-4bb0-85b8-2f1913dfd9f6,384,Pilot Travel Center,Pilot Travel Center #384,VA,Colonial Heights,37.3108667,-77.3915178,,58,110,,lat+lng+parking_spaces,overnight_parking+parking_restrictions+is_indexable,store_number+address+brand,false,false,true
