db_id,source_ref,official_name,db_name,state,city,address,evidence,db_published,db_has_coord
5cf98762-e51b-4116-8a71-1934fcc47f35,89,ONE9 Travel Center,ONE9 Travel Center (Pilot #89) - Ellenton,FL,Ellenton,1526 51st Ave E,store_number+address+brand,true,false
5fc5e9a4-17f9-40c7-9c65-d3904e90140f,226,ONE9 Travel Center,ONE9 Travel Center #226,TN,Dandridge,505 Patriot Dr,store_number+address+brand,true,false
32188e16-75ce-477c-b671-a22f8606b139,319,ONE9 Travel Center,ONE9 Travel Center #319,GA,Dalton,243 Connector 3 SW,store_number+address+coordinate_0m+brand,true,true
7e79bd38-6884-4e0c-a05e-0303faa8514e,457,Pilot Travel Center,Pilot Travel Center #457,OH,Beaver Dam,427 East Main Street,store_number+address+brand,true,false
f6a155cc-c10c-455a-b854-a3643c00535d,4561,Pilot Travel Center,Pilot Travel Center #4561,GA,Valdosta,3460 Madison Hwy,store_number+address+coordinate_71m+brand,true,true
a77f9fde-3b52-4f86-961d-91e168d388d5,62,Pilot Travel Center,Pilot Travel Center #62,SC,Florence,3006 N Williston Rd,store_number+address+brand,false,false
f9e3ec91-4b3f-4c36-a174-96eafb9e907e,403,ONE9 Travel Center,ONE9 Travel Center #403,TN,Heiskell,1915 E Raccoon Valley Dr,store_number+address+coordinate_0m+brand,true,true
28ed1b57-596a-42e2-bcb7-55434d32fe02,441,Pilot Travel Center,Pilot Travel Center #441,AL,Decatur,3240 Point Mallard Parkway,store_number+address+brand,true,false
9172f64e-0836-45fd-a136-3e9c914b7097,653,Flying J Travel Center,Flying J Travel Center #653 (Hebron),IN,Hebron,3231 E 181st Ave,store_number+address+brand,true,false
989e6437-46b1-45ce-a5b2-7f7d4d0cb18a,4584,Pilot Travel Center,Pilot Travel Center #4584,SC,Latta,1504 SC-38,store_number+address+brand,false,false
e5c73805-b895-443e-ad46-5b33992106d6,90,Pilot Travel Center,Pilot Travel Center #90,FL,Fort Pierce,7300 Okeechobee Rd,store_number+address+brand,false,false
b7a1bf29-998f-498a-a44a-0974411802b6,231,Pilot Travel Center,Pilot Travel Center #231,KY,Corbin,249 W Cumberland Gap Pkwy,store_number+address+brand,true,false
2e036deb-3b94-41b3-9fcb-fd5b71923e44,254,ONE9 Travel Center,ONE9 Travel Center (former Pilot Travel Center #254),GA,Wildwood,650 GA-299,store_number+address+brand,true,false
5527d376-b806-4a10-bc75-0478c35672d0,284,Pilot Travel Center,Pilot Travel Center #284 - Monroe,MI,Monroe,1200 Nadeau Rd,store_number+address+brand,true,false
4f77aa49-f11e-4ebd-a86e-9c6290ec1ec1,114,Pilot Travel Center,Pilot Travel Center #114,TN,Crossville,2449 Genesis Rd,store_number+address+brand,true,false
1f226de3-a16d-434e-9db3-2cb86dbf9e31,91,Pilot Travel Center,Pilot Travel Center #91,FL,Saint Johns,1625 County Road 210 West,store_number+address+brand,false,false
b3c074e4-06a3-4cb4-b205-6ad5ddae3476,219,Pilot Travel Center,Pilot Travel Center #219,TN,Knoxville,7210 Strawberry Plains Pike,store_number+address+brand,true,false
96b417a9-ff26-480a-bdea-4ce572470bd7,631,Flying J Travel Center,Flying J Travel Center #631,GA,Lake Park,7001 Bellville Rd,store_number+address+coordinate_78m+brand,true,true
