source_ref,official_name,state,city,address,quarantine_reason
89,ONE9 Travel Center,FL,Ellenton,1526 51st Ave E,"zero-stated-parking-spaces; IN DIRECTORY as a network truck stop, NEVER as parking and NEVER as a last-legal-stop recommendation"
1173,Pilot Express,WA,Tacoma,1440 Puyallup Ave,"zero-stated-parking-spaces; IN DIRECTORY as a network truck stop, NEVER as parking and NEVER as a last-legal-stop recommendation"
265,ONE9 Travel Center,TN,Cookeville,1111 S Jefferson Ave,"zero-stated-parking-spaces; IN DIRECTORY as a network truck stop, NEVER as parking and NEVER as a last-legal-stop recommendation"
7937,ONE9 Travel Center,NC,McLeansville,907 Knox Rd,"zero-stated-parking-spaces; IN DIRECTORY as a network truck stop, NEVER as parking and NEVER as a last-legal-stop recommendation"
72,Mr. Fuel Travel Center,GA,Savannah,1504 Dean Forest Rd,"zero-stated-parking-spaces; IN DIRECTORY as a network truck stop, NEVER as parking and NEVER as a last-legal-stop recommendation"
321,Pilot Travel Center,KY,Walton,11229 Frontage Rd,"zero-stated-parking-spaces; IN DIRECTORY as a network truck stop, NEVER as parking and NEVER as a last-legal-stop recommendation"
1215,One9 Travel Center,AZ,Salome,48710 Vicksburg Rd,"zero-stated-parking-spaces; IN DIRECTORY as a network truck stop, NEVER as parking and NEVER as a last-legal-stop recommendation"
8603,Pilot Dealer,NM,Artesia,620 W Mill Road,"zero-stated-parking-spaces; IN DIRECTORY as a network truck stop, NEVER as parking and NEVER as a last-legal-stop recommendation"
1302,EZ Trip Travel Center,CA,Bakersfield,29541 Stockdale Hwy,"zero-stated-parking-spaces; IN DIRECTORY as a network truck stop, NEVER as parking and NEVER as a last-legal-stop recommendation"
1293,ONE9 Dealer,TX,Garland,801 E I-30,"zero-stated-parking-spaces; IN DIRECTORY as a network truck stop, NEVER as parking and NEVER as a last-legal-stop recommendation"
1286,ONE9 Dealer,IL,Salem,1530 W Main St,"zero-stated-parking-spaces; IN DIRECTORY as a network truck stop, NEVER as parking and NEVER as a last-legal-stop recommendation"
1192,Pilot Licensed Location,AZ,Wittmann,31120 US-60,"zero-stated-parking-spaces; IN DIRECTORY as a network truck stop, NEVER as parking and NEVER as a last-legal-stop recommendation"
1395,ONE9 Dealer,NV,Jean,22535 S Las Vegas Blvd,"zero-stated-parking-spaces; IN DIRECTORY as a network truck stop, NEVER as parking and NEVER as a last-legal-stop recommendation"
1402,ONE9 Dealer,FL,Marianna,2091 FL-71,"zero-stated-parking-spaces; IN DIRECTORY as a network truck stop, NEVER as parking and NEVER as a last-legal-stop recommendation"
1432,ONE9 Dealer,CO,Brighton,2129 Barr Pl,"zero-stated-parking-spaces; IN DIRECTORY as a network truck stop, NEVER as parking and NEVER as a last-legal-stop recommendation"
1283,Pilot Dealer,TX,Corsicana,4750 I-45 S,"zero-stated-parking-spaces; IN DIRECTORY as a network truck stop, NEVER as parking and NEVER as a last-legal-stop recommendation"
1494,Pilot Dealer,IL,Itasca,1221 N Rohlwing Rd,"zero-stated-parking-spaces; IN DIRECTORY as a network truck stop, NEVER as parking and NEVER as a last-legal-stop recommendation"
790,Flying J Travel Center,ON,Napanee,628 County Rd 41,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
807,Flying J Travel Center,ON,Mississauga,1400 Britannia Rd E,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
869,Flying J Travel Center,AB,Nanton,2810 21 Ave,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
796,Flying J Travel Center,AB,Red Deer,6607 67 St,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
852,Flying J Travel Center,ON,Lancaster,20382 Old Hwy 2,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
793,Flying J Travel Center,AB,Calgary,4216 72 Ave SE,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
862,Flying J Travel Center,ON,Ayr,2492 Cedar Creek Rd,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
853,Flying J Travel Center,ON,Sault Ste. Marie,996 Great Northern Rd,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
