source_ref,official_name,brand_family,name,address,city,state,zip,lat,lng,interstate,exit_number,interstate_raw,parking_spaces,fuel_lanes,showers,overnight_parking,parking_restrictions,cat_scale,amenities,directory_representation,parking_representation
89,ONE9 Travel Center,ONE9,ONE9 Travel Center #89,1526 51st Ave E,Ellenton,FL,34222,27.528565346887518,-82.51230464049281,I-75,224,"I-75, Exit 224",0,4,2,,,false,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Mobile Ordering,network truck stop,"NONE — never returned as parking, never a last-legal-stop recommendation"
1173,Pilot Express,Pilot,Pilot Express #1173,1440 Puyallup Ave,Tacoma,WA,98421,47.24173242949355,-122.41214941719666,I-5,134,"I-5, Exit 134",0,7,0,,,true,Diesel Lanes | CAT Scale | Cylinder Propane | Bridgestone Tire Monitoring | Mobile Ordering,network truck stop,"NONE — never returned as parking, never a last-legal-stop recommendation"
265,ONE9 Travel Center,ONE9,ONE9 Travel Center #265,1111 S Jefferson Ave,Cookeville,TN,38506,36.133737186379726,-85.50421763558195,I-40,287,"I-40, Exit 287",0,3,0,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Mobile Ordering,network truck stop,"NONE — never returned as parking, never a last-legal-stop recommendation"
7937,ONE9 Travel Center,ONE9,ONE9 Travel Center #7937,907 Knox Rd,McLeansville,NC,27301,36.06085647658663,-79.66228490370484,I-40,132,"I-40/85, Exit 132",0,4,0,,,false,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | Cylinder Propane | DEF Lanes | Pegasus | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,network truck stop,"NONE — never returned as parking, never a last-legal-stop recommendation"
72,Mr. Fuel Travel Center,Mr. Fuel Travel Center,Mr. Fuel Travel Center #72,1504 Dean Forest Rd,Savannah,GA,31408,32.072302,-81.199597,I-16,160,"I-16, Exit 160",0,5,1,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Lottery | Pegasus | Mobile Ordering,network truck stop,"NONE — never returned as parking, never a last-legal-stop recommendation"
321,Pilot Travel Center,Pilot,Pilot Travel Center #321,11229 Frontage Rd,Walton,KY,41094,38.91737631038006,-84.63245170304107,I-75,175,"I-75/71/KY-338, Exit 175",0,6,3,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces | Mobile Ordering,network truck stop,"NONE — never returned as parking, never a last-legal-stop recommendation"
1215,One9 Travel Center,ONE9,One9 Travel Center #1215,48710 Vicksburg Rd,Salome,AZ,85348,33.627656363554415,-113.76779908173792,I-10,45,"I-10, Exit 45",0,9,6,,,false,Diesel Lanes | Showers | Diesel Mobile Fueling | DEF Lanes | Mobile Ordering,network truck stop,"NONE — never returned as parking, never a last-legal-stop recommendation"
8603,Pilot Dealer,Pilot,Pilot Dealer #8603,620 W Mill Road,Artesia,NM,88210,32.87196623187066,-104.40138348975755,,,US-285 and Co Rd 114,0,4,0,,,false,Diesel Lanes | Diesel Mobile Fueling,network truck stop,"NONE — never returned as parking, never a last-legal-stop recommendation"
1302,EZ Trip Travel Center,EZ Trip Travel Center,EZ Trip Travel Center #1302,29541 Stockdale Hwy,Bakersfield,CA,93314,35.35423704900311,-119.33124504047548,I-5,253,"I-5, Exit 253",0,7,0,,,false,Diesel Lanes | Diesel Mobile Fueling | Wifi | ATM | DEF Lanes | Pegasus | Mobile Ordering,network truck stop,"NONE — never returned as parking, never a last-legal-stop recommendation"
1293,ONE9 Dealer,ONE9,ONE9 Dealer #1293,801 E I-30,Garland,TX,75043,32.8548532,-96.56098,I-30,61A,"I-30, Exit 61A",0,4,0,,,false,Diesel Lanes | ATM | Check Cashing | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces,network truck stop,"NONE — never returned as parking, never a last-legal-stop recommendation"
