"Store #","Name","Address","City","State","Zip Code","Interstate","Latitude","Longitude","Phone Number","Parking Spaces Count","Fuel Lane Count","Shower Count","Amenities","Restaurants"
30,Pilot Travel Center,2640 N 600 W,Greenfield,IN,46140,"I-70, Exit 96",39.82150283618834,-85.91623097168883,(463) 388-0606,90,9,9,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,Pilot Eats
3,Pilot Travel Center,1150 North Canfield Niles Road,Youngstown,OH,44515,"I-80, Exit 223",41.12874281677272,-80.76935871831589,(330) 505-3532,200,13,8,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,McDonalds | Pilot Eats
61,ONE9 Travel Center,12818 SC-56,Clinton,SC,29325,"I-26, Exit 52",34.509127,-81.858031,(864) 833-4555,21,6,3,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces | Mobile Ordering,Subway | Pilot Eats EXPRESS
118,Pilot Travel Center,7801 Alcoa Rd,Benton,AR,72019,"I-30, Exit 121",34.6083708,-92.5334365,(501) 794-5900,76,8,8,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,Subway | Pilot Eats EXPRESS
89,ONE9 Travel Center,1526 51st Ave E,Ellenton,FL,34222,"I-75, Exit 224",27.528565346887518,-82.51230464049281,(941) 729-6288,0,4,2,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Mobile Ordering,Pilot Eats EXPRESS
146,Pilot Travel Center,995 US-9,Castleton-On-Hudson,NY,12033,"I-90, Exit 12",42.497923883051094,-73.67463536119345,(518) 732-7272,35,7,4,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,Subway | Pilot Eats EXPRESS
154,Pilot Travel Center,14808 Warren St,Lost Hills,CA,93249,"I-5/CA-46, Exit 278",35.615131,-119.658782,(661) 797-2122,60,7,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Live Parking | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Cinnabon | Wendy's | Pilot Eats EXPRESS
226,ONE9 Travel Center,505 Patriot Dr,Dandridge,TN,37725,"I-40, Exit 417",36.03750642605513,-83.44555030270627,(865) 397-3547,35,7,4,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Subway | Pilot Eats EXPRESS
275,Pilot Travel Center,3807 Statesville Ave,Charlotte,NC,28206,"I-85/77, Exit 39",35.2704815,-80.8381034,(704) 358-1006,32,7,5,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Mobile Ordering,Subway | Pilot Eats EXPRESS
279,Pilot Travel Center,769 E Frontage Rd,Rio Rico,AZ,85648,"I-19/AZ-289, Exit 12",31.430933704281088,-110.96196054038465,(520) 377-0001,90,7,11,Electric Vehicle Charging Station | Mobile Ordering,Wendy's | Pilot Eats EXPRESS
309,Pilot Travel Center,44133 Fairground Rd,Caldwell,OH,43724,"I-77, Exit 25",39.7375172,-81.5276703,(740) 732-5656,32,5,5,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,Arby's | Pilot Eats EXPRESS
