db_id,name,state,city,category_slug,is_published,bucket,reason
(see id map note),TA Greensboro,NC,Whitsett,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Brookville,PA,Brookville,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Columbia,NJ,Columbia,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Eloy,AZ,Eloy,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Gallup,NM,Gallup,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Dayton,OH,Eaton,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Harrisburg,PA,Harrisburg,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Las Cruces,NM,Las Cruces,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Lodi,OH,Seville,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Tuscaloosa,AL,Tuscaloosa,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Baytown,TX,Baytown,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Willington,CT,Willington,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Santa Rosa,NM,Santa Rosa,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA London,OH,London,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Spartanburg,SC,Duncan,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),Petro Ontario,CA,Ontario,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Kingsville,OH,Kingsville,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Chicago North,IL,Zion,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Wheeling,WV,Valley Grove,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Effingham,IL,Effingham,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Oklahoma City East,OK,Oklahoma City,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Hebron,OH,Hebron,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Coachella,CA,Coachella,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Mt Vernon,IL,Mt. Vernon,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Elgin,IL,Hampshire,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Madison,GA,Madison,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Tallulah,LA,Tallulah,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Meridian,MS,Meridian,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Bloomsbury,NJ,Bloomsbury,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Rockwall,TX,Rockwall,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Madison,WI,DeForest,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Matthews,MO,Matthews,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Oak Grove,MO,Oak Grove,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Mobile,AL,Grand Bay,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Amarillo,TX,Amarillo,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Aurora,OR,Aurora,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Redding,CA,Redding,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Youngstown,OH,Youngstown,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Oklahoma City West,OK,Oklahoma City,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Tooele,UT,Salt Lake City,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Council Bluffs,IA,Council Bluffs,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Barkeyville,PA,Harrisville,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Lamar,PA,Lamar,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Janesville,WI,Janesville,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Walcott,IA,Walcott,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Albuquerque,NM,Albuquerque,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Toledo,OH,Perrysburg,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Ann Arbor,MI,Dexter,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Ogallala,NE,Ogallala,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Oakley,KS,Oakley,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Bloomington,IL,Bloomington,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Kingman,AZ,Kingman,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA North Canton,OH,Canton,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Las Vegas,NV,Las Vegas,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Sawyer,MI,Sawyer,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Antioch,TN,Antioch,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Strafford,MO,Strafford,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Jeffersonville,OH,Jeffersonville,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Wytheville,VA,Wytheville,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA San Antonio,TX,San Antonio,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Commerce City,CO,Commerce City,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Hurricane,WV,Hurricane,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Dallas South,TX,Dallas,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Sayre,OK,Sayre,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Laredo,TX,Laredo,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Southington,CT,Milldale,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Commerce,GA,Commerce,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Express Tampa,FL,Seffner,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Buttonwillow,CA,Buttonwillow,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Lafayette,LA,Lafayette,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Ontario,CA,Ontario,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Santa Nella,CA,Santa Nella,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Boise,ID,Boise,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Livingston,CA,Livingston,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Express New Haven,CT,Branford,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Sparks,NV,Sparks,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Wheat Ridge,CO,Wheat Ridge,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Foristell,MO,Foristell,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Seattle East,WA,North Bend,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Marianna,FL,Marianna,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Slidell,LA,Slidell,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Mill City,NV,Mill City,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Troutdale,OR,Troutdale,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Express Parowan,UT,Parowan,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Cheyenne,WY,Burns,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Ft. Bridger,WY,Ft. Bridger,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Grand Island,NE,Alda,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
(see id map note),TA Pembroke,NY,Corfu,truck-stops,true,exact-match,"imported 2026-07-25; value digest 2ac6c659… proves production still equals the import CSV, which equals the current official master"
