db_id,site_id,location_id,db_name,state,city,lat,lng,parking_spaces,zip,fills,evidence,confidence,currently_published,currently_has_coord
e36e07df-2f06-48a6-9494-8cf3b0f4cc15,0001,5045,TA Ashland (TravelCenters of America),VA,Ashland,37.7598,-77.4631,183,,lat+lng+parking_spaces,site_id->prior-review-exact-production-id,name-anchored (verify before publish),false,false
783d1792-e352-4fb3-bd2b-fc38951c19c8,0010,5013,TA Gary #010 (Burr Street),IN,Gary,41.573,-87.4045,,,lat+lng,site_id->prior-review-exact-production-id+row-name-cites-site-number+address-identical,address-anchored,true,false
f35c37d4-6118-40c1-8380-1edf8e79777d,0019,214,TA Elkton #019,MD,Elkton,,,151,,parking_spaces,site_id->prior-review-exact-production-id+row-name-cites-site-number+address-identical+coordinate_0m,address-anchored,true,true
dee17bfa-a6bf-4da0-8d48-95a9231de439,0028,5017,TA Walton,KY,Walton,38.9172,-84.6266,,,lat+lng,site_id->prior-review-exact-production-id+street-number-agrees,address-anchored,true,false
3e5fef77-bc72-4174-b45d-04f6096c8fde,0033,5006,TA Earle (TravelCenters of America #033),AR,Earle,35.1364,-90.488,137,,lat+lng+parking_spaces,site_id->prior-review-exact-production-id+row-name-cites-site-number+street-number-agrees,address-anchored,true,false
245d9e0f-cb95-461e-822a-e458c03212ed,0053,656,TA Wildwood (TravelCenters of America),FL,Wildwood,28.875,-82.0939,,,lat+lng,site_id->prior-review-exact-production-id+street-number-agrees,address-anchored,true,false
b9b49d33-ae7d-4ca0-b197-6986c17eef18,0065,5014,TA Seymour,IN,Seymour,38.9576,-85.8366,,,lat+lng,site_id->prior-review-exact-production-id+street-number-agrees,address-anchored,true,false
7b340f8f-28fc-4bca-83a8-bee8a793a4fb,0069,5019,TA Travel Center - Monroe #069,MI,Monroe,41.9267,-83.3632,,,lat+lng,site_id->prior-review-exact-production-id+row-name-cites-site-number+address-identical,address-anchored,true,false
51296b6f-d325-4a97-a48f-d7a315a5e7e0,0082,5082,TA Wapakoneta #082,OH,Wapakoneta,40.5582,-84.1656,,,lat+lng,site_id->prior-review-exact-production-id+row-name-cites-site-number+street-number-agrees,address-anchored,true,false
eec1d852-2b50-47f7-a59e-b1238f1ace2d,0093,5072,TA Florence,KY,Florence,39.0001,-84.6447,,,lat+lng,site_id->prior-review-exact-production-id+street-number-agrees,address-anchored,true,false
7a03c1f5-6b4d-4951-98a2-a3e752d2270b,0142,210,TA Richmond (TravelCenters of America),VA,Ashland,37.7237,-77.4479,317,,lat+lng+parking_spaces,name+city+state+zip5 (prior review linked the wrong row; verify before publish),name-anchored (verify before publish),false,false
ff19357b-eb93-4483-9e4e-ebb40e07fe36,0151,5018,TA Baltimore South #151,MD,Jessup,,,436,,parking_spaces,site_id->prior-review-exact-production-id+row-name-cites-site-number+address-identical+coordinate_0m,address-anchored,true,true
0fd1e82b-0a8e-410b-9af9-8787d6ab89b8,0173,306,TA Whitestown (TravelCenters of America #173),IN,Whitestown,39.9478,-86.357,,,lat+lng,site_id->prior-review-exact-production-id+row-name-cites-site-number+street-number-agrees,address-anchored,true,false
6bad6451-4f76-45b8-9a3b-4a1aad414f83,0177,604,TA Savannah (TravelCenters of America #177),GA,Richmond Hill,,,222,,parking_spaces,site_id->prior-review-exact-production-id+row-name-cites-site-number+street-number-agrees+coordinate_150m,address-anchored,true,true
b621363d-e4d4-40c6-a04d-09e950264b12,0179,213,TA Manning (TravelCenters of America #179),SC,Manning,,,84,,parking_spaces,site_id->prior-review-exact-production-id+row-name-cites-site-number+street-number-agrees+coordinate_102m,address-anchored,true,true
7d74bb54-f22d-4594-8bc8-9d9710f88ac0,0197,672,TA Vero Beach #197,FL,Vero Beach,,,162,,parking_spaces,site_id->prior-review-exact-production-id+row-name-cites-site-number+street-number-agrees+coordinate_121m,address-anchored,true,true
e102d6bd-874c-43d0-b9f6-c8a9dbbe4832,0216,6216,TA Baltimore #216,MD,Baltimore,,,181,,parking_spaces,site_id->prior-review-exact-production-id+row-name-cites-site-number+address-identical+coordinate_0m,address-anchored,true,true
91b8ddaa-6012-4ab7-839a-ded888eb912d,0221,6221,TA Candler (TravelCenters of America #221),NC,Candler,35.5432,-82.754,,,lat+lng,site_id->prior-review-exact-production-id+row-name-cites-site-number+street-number-agrees,address-anchored,true,false
09974385-8c93-4bb5-be59-13552b53e2b3,0245,6245,TA Denmark (TravelCenters of America #245),TN,Denmark,35.5955,-89.0557,,,lat+lng,site_id->prior-review-exact-production-id+row-name-cites-site-number+street-number-agrees,address-anchored,true,false
28c41568-118b-4e1f-aee1-469f8a634af9,0258,6258,TA Travel Center Brunswick,GA,Brunswick,,,107,,parking_spaces,site_id->prior-review-exact-production-id+street-number-agrees+coordinate_82m,address-anchored,true,true
cd4783d1-b67c-4c09-b056-6a72f5606229,0269,6269,TA Knoxville West,TN,Knoxville,35.8731,-84.2379,,,lat+lng,site_id->prior-review-exact-production-id+street-number-agrees,address-anchored,true,false
68afff98-8a4c-42be-b099-e87e50b08a38,0287,6287,TA Express Cookeville,TN,Cookeville,36.1305,-85.4796,,,lat+lng,site_id->prior-review-exact-production-id+street-number-agrees,address-anchored,true,false
687996be-4fd9-4464-a9b3-3df5b2c7f505,0288,6288,TA Travel Center #288 (Lake City),FL,Lake City,29.99558,-82.59672,,,lat+lng,site_id->prior-review-exact-production-id+row-name-cites-site-number+street-number-agrees,address-anchored,true,false
20ea502e-9d1f-43e3-b369-520d35c38c5f,0311,6311,Petro Stopping Center #311 (Petro West Memphis),AR,West Memphis,35.1544,-90.136,,,lat+lng,site_id->prior-review-exact-production-id+row-name-cites-site-number+street-number-agrees,address-anchored,true,false
5e829807-6932-4f13-b44f-e5dea115f755,0312,6312,Petro Knoxville,TN,Knoxville,35.875,-84.2361,,,lat+lng,site_id->prior-review-exact-production-id+street-number-agrees,address-anchored,true,false
904bda8d-b42d-49ce-88d2-5b2fd4ca4191,0323,6323,Petro Stopping Center #323 (Ocala / Reddick),FL,Reddick,29.409,-82.2462,,,lat+lng,site_id->prior-review-exact-production-id+row-name-cites-site-number+street-number-agrees,address-anchored,true,false
bb4d283f-1f08-4acd-a062-850f5bc309c6,0325,6325,Petro Stopping Center #325,OH,North Baltimore,41.1738,-83.6475,,,lat+lng,site_id->prior-review-exact-production-id+row-name-cites-site-number+address-identical,address-anchored,true,false
03c39975-0f38-4f41-97e7-d50d95b9edf0,0326,6326,Petro Stopping Center #326 (Petro N. Little Rock),AR,North Little Rock,34.781,-92.1298,,,lat+lng,site_id->prior-review-exact-production-id+row-name-cites-site-number+street-number-agrees,address-anchored,true,false
36d48fe4-d2ce-4d99-987a-9e8341644b7a,0344,6344,Petro Stopping Center #344 (TA/Petro Kingsland),GA,Kingsland,,,136,,parking_spaces,site_id->prior-review-exact-production-id+row-name-cites-site-number+street-number-agrees+coordinate_148m,address-anchored,true,true
8018aa5b-c428-465d-9809-fde4e03cd4a2,0349,6349,Petro Stopping Center Kingston Springs #349,TN,Kingston Springs,36.0824,-87.0955,68,,lat+lng+parking_spaces,site_id->prior-review-exact-production-id+row-name-cites-site-number+street-number-agrees,address-anchored,true,false
8578017a-7ea0-4c38-a6ed-abf7b5a39d0f,0369,6369,Petro Gary #369 (Grant Street),IN,Gary,41.5638,-87.3557,,,lat+lng,site_id->prior-review-exact-production-id+row-name-cites-site-number+street-number-agrees,address-anchored,true,false
bd27e9bc-6b14-4810-b20d-26a04702c477,0382,6382,Petro Stopping Center #382,IN,Remington,40.767,-87.1261,,,lat+lng,site_id->prior-review-exact-production-id+row-name-cites-site-number+street-number-agrees,address-anchored,true,false
0a0c7a0d-2fb0-4201-a93f-b934e2617b5b,0395,5026,Petro Kenly 95 #395,NC,Kenly,,,350,,parking_spaces,site_id->prior-review-exact-production-id+row-name-cites-site-number+address-identical+coordinate_107m,address-anchored,true,true
25721d01-d3ed-4da5-a9cc-448fd166e75b,0485,6485,Petro Dodge City (Petro Stopping Center #397),AL,Hanceville,34.05078,-86.87234,,,lat+lng,site_id->prior-review-exact-production-id+street-number-agrees,address-anchored,true,false
ebb8ad22-3283-4fc6-9918-66a8ef8ef9dd,0486,6486,TA Express Stony Creek (former Davis Travel Center),VA,Stony Creek,,,80,,parking_spaces,site_id->prior-review-exact-production-id+street-number-agrees+coordinate_61m,address-anchored,true,true
8bf6630b-8c97-45c5-b219-f6b2e21d760a,0527,6527,Petro / TA Florence (TravelCenters of America #195),SC,Florence,,,77,,parking_spaces,site_id->prior-review-exact-production-id+street-number-agrees,address-anchored,true,true
eb48d156-9ad9-4fa3-b8eb-cfc7b29a49a4,0528,6528,TA Saginaw #198 (Bridgeport),MI,Bridgeport,43.3517,-83.869,,,lat+lng,site_id->prior-review-exact-production-id+address-identical,address-anchored,true,false
