id	state	city	category_slug	is_published	has_coord	lat	lng	address	zip	parking_spaces	interstate	source	name
03c39975-0f38-4f41-97e7-d50d95b9edf0	AR	North Little Rock	truck-stops	true	false			3205 Valentine Rd	72117	250	I-40	csv-import	Petro Stopping Center #326 (Petro N. Little Rock)
04e8fad7-c564-4879-95ba-91816d3b1074	FL	Lake City	cat-scales	true	false			14197 S US Highway 441	32024		I-75	csv-import	CAT Scale — TA Travel Center #288, Lake City
065b431c-e56b-493b-a68a-b9ba7e309d23	AR	West Memphis	roadside-service	true	false			3900 Petro Rd	72301		I-40	csv-import	TA Truck Service - Petro West Memphis
0910b870-8a54-42b1-8fcc-993737757ade	TN	Pioneer	cat-scales	true	true	36.37677	-84.248712	305 Howard Baker Hwy	37847	80	I-75	csv-import	CAT Scale — TA Caryville #255, Pioneer
09974385-8c93-4bb5-be59-13552b53e2b3	TN	Denmark	truck-stops	true	false			155 Highway 138 (Providence Road)	38391	92	I-40	csv-import	TA Denmark (TravelCenters of America #245)
0a0c7a0d-2fb0-4201-a93f-b934e2617b5b	NC	Kenly	truck-stops	true	true	35.58136	-78.146582	923 Johnston Pkwy	27542		I-95	csv-import	Petro Kenly 95 #395
0f848a8a-9f2f-4e89-bed3-97d656bcd25d	GA	Cartersville	truck-stops	true	true	34.273972	-84.807762	981 Cassville-White Rd	30121	212	I-75	csv-import	TA Cartersville #146
0fd1e82b-0a8e-410b-9af9-8787d6ab89b8	IN	Whitestown	truck-stops	true	false			5930 E State Road 334	46075	169	I-65	csv-import	TA Whitestown (TravelCenters of America #173)
20ea502e-9d1f-43e3-b369-520d35c38c5f	AR	West Memphis	truck-stops	true	false			3900 Petro Rd	72301	280	I-40	csv-import	Petro Stopping Center #311 (Petro West Memphis)
245d9e0f-cb95-461e-822a-e458c03212ed	FL	Wildwood	truck-stops	true	false			556 E State Road 44	34785	170	I-75	csv-import	TA Wildwood (TravelCenters of America)
25721d01-d3ed-4da5-a9cc-448fd166e75b	AL	Hanceville	truck-stops	true	false			426 AL Highway 69 S	35077	312	I-65	csv-import	Petro Dodge City (Petro Stopping Center #397)
25bbe285-2b82-4ad4-a1fb-5dd82073d31f	TN	Pioneer	truck-stops	true	true	36.37677	-84.248712	305 Howard Baker Hwy	37847	80	I-75	csv-import	TA Caryville
28c41568-118b-4e1f-aee1-469f8a634af9	GA	Brunswick	truck-stops	true	true	31.138555	-81.580576	185 Dungeness Dr	31523		I-95	csv-import	TA Travel Center Brunswick
2937ca5e-063c-4ac7-b4c4-0e7da286f488	AL	Montgomery	truck-stops	true	false			980 W South Blvd	36105	125	I-65	csv-import	TA Montgomery #111
