site_id,brand,location_id,state,state_name,city,name,truck_parking_spaces,has_coordinate,weigh_scale,showers,disposition,reason
0001,TA,5045,VA,Virginia,Ashland,TA Ashland,183,true,y,11,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0002,TA,5025,NC,North Carolina,Whitsett,TA Greensboro,173,true,y,13,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0003,TA,5036,PA,Pennsylvania,Brookville,TA Brookville,221,true,y,8,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0006,TA,5022,NJ,New Jersey,Columbia,TA Columbia,172,true,y,7,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0007,TA,5002,AZ,Arizona,Eloy,TA Eloy,234,true,y,11,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0008,TA,5024,NM,New Mexico,Gallup,TA Gallup,76,true,y,9,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0010,TA,5013,IN,Indiana,Gary,TA Gary,318,true,y,14,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0011,TA,5028,OH,Ohio,Eaton,TA Dayton,198,true,y,9,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0012,TA,5037,PA,Pennsylvania,Harrisburg,TA Harrisburg,178,true,y,13,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0014,TA,5003,NM,New Mexico,Las Cruces,TA Las Cruces,201,true,y,10,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0015,TA,5030,OH,Ohio,Seville,TA Lodi,237,true,y,10,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0016,TA,5005,AL,Alabama,Tuscaloosa,TA Tuscaloosa,151,true,y,12,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0017,TA,5044,TX,Texas,Baytown,TA Baytown,173,true,y,10,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0019,TA,214,MD,Maryland,Elkton,TA Elkton,151,true,y,10,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0022,TA,5009,CT,Connecticut,Willington,TA Willington,240,true,y,10,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0023,TA,5004,NM,New Mexico,Santa Rosa,TA Santa Rosa,116,true,y,9,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
