Business Name,Category,Address,City,State,ZIP,Latitude,Longitude,Phone,Website,Description,Truck Spaces,Free Parking,Paid Parking,Reserved Parking,Overnight Parking,Showers,Food,Fuel,Laundry,Restrooms,Repair,CAT Scale,WiFi,Security,TruckParkingClub URL,Affiliate Code,Image URL,Interstate,Exit Number,Published,Featured
Pilot Travel Center #53,Truck Stops,15559 Highway 13 S,Hurricane Mills,TN,37078,,,931-296-7180,https://locations.pilotflyingj.com/us/tn/hurricane-mills/15559-tn-13,"24-hour Pilot travel center at I-40 Exit 143 (TN-13/Waverly-Hurricane Mills). Approx. 180 truck parking spaces (incl. reserved Prime spots), 10-11 diesel lanes, 8 showers, Arby's, laundry, CAT scale, and Southern Tire Mart truck tire shop on site.",180,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,I-40,143,yes,no
Love's Travel Stop #369,Truck Stops,2971 Highway 48 S,Dickson,TN,37055,,,615-441-2691,https://www.loves.com/locations/tn/dickson/loves-travel-stop-dickson-369,"24-hour Love's Travel Stop at I-40 Exit 163 (TN-48, Dickson). 106 truck parking spaces, 8 diesel/DEF lanes, 7 showers, CAT scale, McDonald's and Subway, laundry, and on-site Love's Truck Care with 4 service bays.",106,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,I-40,163,yes,no
Pilot Travel Center #409,Truck Stops,2320 Highway 46 S,Dickson,TN,37055,,,615-446-4600,https://locations.pilotflyingj.com/us/tn/dickson/2320-tn-46,"24-hour Pilot travel center at I-40 Exit 172 (TN-46, Dickson). Approx. 90 truck parking spaces (incl. Prime reserved spots), 11 diesel lanes, 11 showers, CAT scale, Wendy's and Cinnabon, public laundry, drivers lounge, and Wi-Fi.",90,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,,,,,I-40,172,yes,no
Petro Stopping Center Kingston Springs #349,Truck Stops,162 Luyben Hills Rd,Kingston Springs,TN,37082,,,615-952-3208,https://www.ta-petro.com/location/tn/petro-kingston-springs/,"24-hour Petro (TravelCenters of America) at I-40 Exit 188 (TN-249, Kingston Springs). Truck parking with reserved spaces (sources report 68-98 spots), showers, Iron Skillet restaurant, laundry, CAT scale, and TA Truck Service shop on site.",,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,I-40,188,yes,no
CAT Scale - Pilot Travel Center #53 Hurricane Mills,CAT Scales,15559 Highway 13 S,Hurricane Mills,TN,37078,,,931-296-7180,https://catscale.com/cat-scale-locator/,"Certified CAT scale located at the Pilot Travel Center, I-40 Exit 143 (TN-13), Hurricane Mills.",,,,,,,,,,,,yes,,,,,,I-40,143,yes,no
CAT Scale - Love's Travel Stop #369 Dickson,CAT Scales,2971 Highway 48 S,Dickson,TN,37055,,,615-441-2691,https://catscale.com/cat-scale-locator/,"Certified CAT scale located at Love's Travel Stop #369, I-40 Exit 163 (TN-48), Dickson.",,,,,,,,,,,,yes,,,,,,I-40,163,yes,no
CAT Scale - Pilot Travel Center #409 Dickson,CAT Scales,2320 Highway 46 S,Dickson,TN,37055,,,615-446-4600,https://catscale.com/cat-scale-locator/,"Certified CAT scale located at the Pilot Travel Center, I-40 Exit 172 (TN-46), Dickson.",,,,,,,,,,,,yes,,,,,,I-40,172,yes,no
CAT Scale - Petro Kingston Springs,CAT Scales,162 Luyben Hills Rd,Kingston Springs,TN,37082,,,615-952-3208,https://catscale.com/cat-scale-locator/,"Certified CAT scale located at the Petro Stopping Center, I-40 Exit 188 (TN-249), Kingston Springs.",,,,,,,,,,,,yes,,,,,,I-40,188,yes,no
Southern Tire Mart at Pilot #330,Tire Repair,15559 Highway 13 S,Hurricane Mills,TN,37078,,,931-296-6850,https://stmtires.com/locations/store-stmp-330/,"Commercial truck tire shop (Southern Tire Mart at Pilot Flying J) at I-40 Exit 143, Hurricane Mills. Michelin/Bridgestone commercial dealer; open 7 days (Mon-Fri 6am-10pm, Sat-Sun 10am-6pm).",,,,,,,,,,yes,yes,,,,,,,I-40,143,yes,no
Love's Truck Care #369,Tire Repair,2971 Highway 48 S,Dickson,TN,37055,,,615-441-2691,https://www.loves.com/locations/tn/dickson/loves-travel-stop-dickson-369,"Love's Truck Care shop at Love's #369, I-40 Exit 163, Dickson. 4 service bays; commercial truck tires (Michelin, Bridgestone, Goodyear, retreads), light mechanical, and oil changes at a fixed location.",,,,,,,,,,yes,yes,,,,,,,I-40,163,yes,no
TA Truck Service #349 (Petro Kingston Springs),Roadside Service,162 Luyben Hills Rd,Kingston Springs,TN,37082,,,615-952-4010,https://www.ta-petro.com/location/tn/petro-kingston-springs/,"Fixed-location TA Truck Service repair shop at the Petro Stopping Center, I-40 Exit 188, Kingston Springs. Truck service bays for repairs and tire work at the travel center.",,,,,,,,,,yes,yes,,,,,,,I-40,188,yes,no
Specialized Truck Repair - Kingston Springs,Roadside Service,155 Petro Rd,Kingston Springs,TN,37082,,,,https://www.specializedtruckrepair.com/locations/155-petro-road-kingston-springs,"Fixed-location commercial truck repair shop on Petro Rd at I-40 Exit 188, Kingston Springs, adjacent to the Petro Stopping Center.",,,,,,,,,,,yes,,,,,,,I-40,188,yes,no
I-40 Truck Repair & Towing,Roadside Service,2976 Highway 48 S,Dickson,TN,37055,,,615-828-1522,https://i40truckrepair.com/,"Fixed-location 24/7 heavy-duty truck repair and towing shop across from Love's at I-40 Exit 163, Dickson. Established 2007; tire changes, jump-starts, heavy recovery, and secure storage.",,,,,,,,,,,yes,,,,,,,I-40,163,yes,no
Finish Line Truck Wash - Fairview,Truck Washes,1512 Highway 96 N,Fairview,TN,37062,,,615-799-5600,https://finishlinewash.com/contact,"Truck and trailer wash on TN-96 south of I-40 Exit 182 (Dickson/Fairview). Open 7 days, 8am-6pm.",,,,,,,,,,,,,,,,,,I-40,182,yes,no
Days Inn by Wyndham Hurricane Mills,Hotels with Truck Parking,15415 Highway 13 S,Hurricane Mills,TN,37078,,,931-296-7647,https://www.wyndhamhotels.com/days-inn/hurricane-mills-tennessee/days-inn-hurricane-mills/overview,"60-room motel at I-40 Exit 143 (TN-13, Waverly/Hurricane Mills) with explicitly advertised free large-vehicle/RV/bus/truck parking, free breakfast, guest laundry, and 24-hour front desk.",,yes,,,yes,,yes,,yes,yes,,,yes,,,,,I-40,143,yes,no
